Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2004,39,39001,Adams County (OH),"28,405","4,581","3,507","5,655","3,507 to 5,655",16.1,12.3,19.9,12.3 to 19.9,"6,963","1,621","1,189","2,053","1,189 to 2,053",23.3,17.1,29.5,17.1 to 29.5,"4,999","1,084",752,"1,416","752 to 1,416",21.7,15,28.3,15.0 to 28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$31,364 ","$29,440 ","$33,414 ","$29,440 to $33,414"
2003,39,39001,Adams County (OH),"28,308","4,202","3,234","5,171","3,234 to 5,171",14.8,11.4,18.3,11.4 to 18.3,"7,031","1,581","1,174","1,988","1,174 to 1,988",22.5,16.7,28.3,16.7 to 28.3,"5,133","1,020",723,"1,317","723 to 1,317",19.9,14.1,25.7,14.1 to 25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$30,487 ","$28,611 ","$32,486 ","$28,611 to $32,486"
2002,39,39001,Adams County (OH),"27,951","4,412","3,404","5,421","3,404 to 5,421",15.8,12.2,19.4,12.2 to 19.4,"7,029","1,506","1,119","1,893","1,119 to 1,893",21.4,15.9,26.9,15.9 to 26.9,"5,188","1,051",741,"1,361","741 to 1,361",20.3,14.3,26.2,14.3 to 26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$29,588 ","$27,605 ","$31,713 ","$27,605 to $31,713"
2019,39,39003,Allen County (OH),"96,479","12,452","10,185","14,719","10,185 to 14,719",12.9,10.5,15.3,10.5 to 15.3,"22,941","4,492","3,428","5,556","3,428 to 5,556",19.6,15,24.2,15.0 to 24.2,"16,705","3,065","2,285","3,845","2,285 to 3,845",18.3,13.6,23,13.6 to 23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,271 ","$54,137 ","$62,405 ","$54,137 to $62,405"
2018,39,39003,Allen County (OH),"96,722","13,901","11,642","16,160","11,642 to 16,160",14.4,12.1,16.7,12.1 to 16.7,"23,104","4,315","3,262","5,368","3,262 to 5,368",18.7,14.1,23.3,14.1 to 23.3,"16,851","2,893","2,109","3,677","2,109 to 3,677",17.2,12.5,21.9,12.5 to 21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,301 ","$46,615 ","$53,987 ","$46,615 to $53,987"
2017,39,39003,Allen County (OH),"97,135","14,723","12,838","16,608","12,838 to 16,608",15.2,13.3,17.1,13.3 to 17.1,"23,354","5,383","4,507","6,259","4,507 to 6,259",23,19.2,26.8,19.2 to 26.8,"17,006","3,495","2,806","4,184","2,806 to 4,184",20.6,16.5,24.7,16.5 to 24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,325 ","$48,772 ","$53,878 ","$48,772 to $53,878"
2016,39,39003,Allen County (OH),"97,661","15,101","13,152","17,050","13,152 to 17,050",15.5,13.5,17.5,13.5 to 17.5,"23,599","5,164","4,264","6,064","4,264 to 6,064",21.9,18.1,25.7,18.1 to 25.7,"17,302","3,520","2,860","4,180","2,860 to 4,180",20.3,16.5,24.1,16.5 to 24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,924 ","$44,647 ","$51,201 ","$44,647 to $51,201"
2015,39,39003,Allen County (OH),"98,462","15,229","12,843","17,615","12,843 to 17,615",15.5,13.1,17.9,13.1 to 17.9,"23,835","5,577","4,623","6,531","4,623 to 6,531",23.4,19.4,27.4,19.4 to 27.4,"17,467","3,742","3,030","4,454","3,030 to 4,454",21.4,17.3,25.5,17.3 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,297 ","$46,661 ","$51,933 ","$46,661 to $51,933"
2014,39,39003,Allen County (OH),"98,914","17,839","15,862","19,816","15,862 to 19,816",18,16,20,16.0 to 20.0,"23,989","5,985","5,057","6,913","5,057 to 6,913",24.9,21,28.8,21.0 to 28.8,"17,583","4,252","3,571","4,933","3,571 to 4,933",24.2,20.3,28.1,20.3 to 28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,602 ","$40,496 ","$46,708 ","$40,496 to $46,708"
2013,39,39003,Allen County (OH),"99,181","15,963","13,697","18,229","13,697 to 18,229",16.1,13.8,18.4,13.8 to 18.4,"24,138","5,528","4,467","6,589","4,467 to 6,589",22.9,18.5,27.3,18.5 to 27.3,"17,717","3,747","2,946","4,548","2,946 to 4,548",21.1,16.6,25.6,16.6 to 25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,274 ","$40,587 ","$45,961 ","$40,587 to $45,961"
2012,39,39003,Allen County (OH),"99,120","19,903","18,060","21,746","18,060 to 21,746",20.1,18.2,22,18.2 to 22.0,"24,188","6,832","5,880","7,784","5,880 to 7,784",28.2,24.3,32.1,24.3 to 32.1,"17,656","4,824","4,139","5,509","4,139 to 5,509",27.3,23.4,31.2,23.4 to 31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,173 ","$39,804 ","$44,542 ","$39,804 to $44,542"
2011,39,39003,Allen County (OH),"100,132","19,203","17,103","21,303","17,103 to 21,303",19.2,17.1,21.3,17.1 to 21.3,"24,647","7,202","6,276","8,128","6,276 to 8,128",29.2,25.4,33,25.4 to 33.0,"17,935","4,892","4,176","5,608","4,176 to 5,608",27.3,23.3,31.3,23.3 to 31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,453 ","$39,767 ","$43,139 ","$39,767 to $43,139"
2010,39,39003,Allen County (OH),"100,240","18,766","16,504","21,028","16,504 to 21,028",18.7,16.4,21,16.4 to 21.0,"24,845","7,451","6,506","8,396","6,506 to 8,396",30,26.2,33.8,26.2 to 33.8,"18,100","4,918","4,255","5,581","4,255 to 5,581",27.2,23.5,30.9,23.5 to 30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,196 ","$39,587 ","$42,805 ","$39,587 to $42,805"
2009,39,39003,Allen County (OH),"99,802","18,751","16,652","20,850","16,652 to 20,850",18.8,16.7,20.9,16.7 to 20.9,"25,070","6,464","5,577","7,350","5,577 to 7,350",25.8,22.2,29.3,22.2 to 29.3,"18,074","4,196","3,600","4,792","3,600 to 4,792",23.2,19.9,26.5,19.9 to 26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,318 ","$36,748 ","$41,888 ","$36,748 to $41,888"
2008,39,39003,Allen County (OH),"100,563","14,749","12,706","16,792","12,706 to 16,792",14.7,12.6,16.7,12.6 to 16.7,"25,207","5,265","4,370","6,161","4,370 to 6,161",20.9,17.3,24.4,17.3 to 24.4,"18,112","3,401","2,738","4,064","2,738 to 4,064",18.8,15.1,22.4,15.1 to 22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,360 ","$40,920 ","$47,800 ","$40,920 to $47,800"
2007,39,39003,Allen County (OH),"100,545","14,529","12,538","16,520","12,538 to 16,520",14.5,12.5,16.4,12.5 to 16.4,"25,493","5,260","4,300","6,219","4,300 to 6,219",20.6,16.9,24.4,16.9 to 24.4,"18,291","3,201","2,519","3,883","2,519 to 3,883",17.5,13.8,21.2,13.8 to 21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,840 ","$41,116 ","$46,564 ","$41,116 to $46,564"
2006,39,39003,Allen County (OH),"101,106","12,963","10,933","14,993","10,933 to 14,993",12.8,10.8,14.8,10.8 to 14.8,"25,836","4,797","3,900","5,693","3,900 to 5,693",18.6,15.1,22,15.1 to 22.0,"18,641","3,236","2,577","3,895","2,577 to 3,895",17.4,13.8,20.9,13.8 to 20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,156 ","$40,756 ","$45,555 ","$40,756 to $45,555"
2005,39,39003,Allen County (OH),"101,259","13,587","11,598","15,577","11,598 to 15,577",13.4,11.5,15.4,11.5 to 15.4,"26,330","4,865","4,025","5,705","4,025 to 5,705",18.5,15.3,21.7,15.3 to 21.7,"18,850","2,920","2,338","3,502","2,338 to 3,502",15.5,12.4,18.6,12.4 to 18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,270 ","$38,927 ","$43,613 ","$38,927 to $43,613"
2004,39,39003,Allen County (OH),"102,537","12,505","9,689","15,320","9,689 to 15,320",12.2,9.4,14.9,9.4 to 14.9,"26,761","4,623","3,436","5,810","3,436 to 5,810",17.3,12.8,21.7,12.8 to 21.7,"18,977","2,780","1,958","3,602","1,958 to 3,602",14.6,10.3,19,10.3 to 19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,134 ","$36,784 ","$41,634 ","$36,784 to $41,634"
2003,39,39003,Allen County (OH),"102,619","11,644","9,038","14,250","9,038 to 14,250",11.3,8.8,13.9,8.8 to 13.9,"26,913","4,279","3,207","5,350","3,207 to 5,350",15.9,11.9,19.9,11.9 to 19.9,"19,230","2,578","1,847","3,309","1,847 to 3,309",13.4,9.6,17.2,9.6 to 17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,069 ","$36,723 ","$41,565 ","$36,723 to $41,565"
2002,39,39003,Allen County (OH),"103,007","11,156","8,647","13,666","8,647 to 13,666",10.8,8.4,13.3,8.4 to 13.3,"27,261","3,661","2,736","4,585","2,736 to 4,585",13.4,10,16.8,10.0 to 16.8,"19,521","2,366","1,676","3,056","1,676 to 3,056",12.1,8.6,15.7,8.6 to 15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,621 ","$35,127 ","$40,291 ","$35,127 to $40,291"
2019,39,39005,Ashland County (OH),"51,036","6,407","5,208","7,606","5,208 to 7,606",12.6,10.3,14.9,10.3 to 14.9,"11,605","2,220","1,718","2,722","1,718 to 2,722",19.1,14.8,23.4,14.8 to 23.4,"8,572","1,667","1,304","2,030","1,304 to 2,030",19.4,15.2,23.6,15.2 to 23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,554 ","$48,557 ","$56,551 ","$48,557 to $56,551"
2018,39,39005,Ashland County (OH),"51,283","5,308","4,149","6,467","4,149 to 6,467",10.4,8.1,12.7,8.1 to 12.7,"11,789","1,481",996,"1,966","996 to 1,966",12.6,8.5,16.7,8.5 to 16.7,"8,718","1,202",806,"1,598","806 to 1,598",13.8,9.3,18.3,9.3 to 18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,362 ","$50,548 ","$58,176 ","$50,548 to $58,176"
2017,39,39005,Ashland County (OH),"51,126","5,837","4,686","6,988","4,686 to 6,988",11.4,9.1,13.7,9.1 to 13.7,"11,905","2,031","1,580","2,482","1,580 to 2,482",17.1,13.3,20.9,13.3 to 20.9,"8,759","1,360","1,023","1,697","1,023 to 1,697",15.5,11.6,19.4,11.6 to 19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,103 ","$46,802 ","$55,404 ","$46,802 to $55,404"
2016,39,39005,Ashland County (OH),"51,196","6,235","5,085","7,385","5,085 to 7,385",12.2,10,14.4,10.0 to 14.4,"11,882","2,071","1,603","2,539","1,603 to 2,539",17.4,13.5,21.3,13.5 to 21.3,"8,699","1,422","1,087","1,757","1,087 to 1,757",16.3,12.5,20.1,12.5 to 20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,612 ","$47,764 ","$53,460 ","$47,764 to $53,460"
2015,39,39005,Ashland County (OH),"50,895","7,190","6,058","8,322","6,058 to 8,322",14.1,11.9,16.3,11.9 to 16.3,"11,967","2,411","1,980","2,842","1,980 to 2,842",20.1,16.5,23.7,16.5 to 23.7,"8,798","1,525","1,200","1,850","1,200 to 1,850",17.3,13.6,21,13.6 to 21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,338 ","$44,794 ","$51,882 ","$44,794 to $51,882"
2014,39,39005,Ashland County (OH),"50,816","7,400","6,080","8,720","6,080 to 8,720",14.6,12,17.2,12.0 to 17.2,"12,001","2,517","1,995","3,039","1,995 to 3,039",21,16.7,25.3,16.7 to 25.3,"8,853","1,716","1,348","2,084","1,348 to 2,084",19.4,15.2,23.6,15.2 to 23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,369 ","$43,448 ","$51,290 ","$43,448 to $51,290"
2013,39,39005,Ashland County (OH),"50,685","6,526","5,203","7,849","5,203 to 7,849",12.9,10.3,15.5,10.3 to 15.5,"11,956","2,369","1,859","2,879","1,859 to 2,879",19.8,15.5,24.1,15.5 to 24.1,"8,906","1,605","1,219","1,991","1,219 to 1,991",18,13.7,22.3,13.7 to 22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,196 ","$45,004 ","$51,388 ","$45,004 to $51,388"
2012,39,39005,Ashland County (OH),"50,608","7,671","6,407","8,935","6,407 to 8,935",15.2,12.7,17.7,12.7 to 17.7,"11,898","2,737","2,245","3,229","2,245 to 3,229",23,18.9,27.1,18.9 to 27.1,"8,798","1,876","1,536","2,216","1,536 to 2,216",21.3,17.4,25.2,17.4 to 25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,748 ","$41,891 ","$47,605 ","$41,891 to $47,605"
2011,39,39005,Ashland County (OH),"50,928","6,672","5,329","8,015","5,329 to 8,015",13.1,10.5,15.7,10.5 to 15.7,"12,182","2,462","1,921","3,003","1,921 to 3,003",20.2,15.8,24.6,15.8 to 24.6,"8,988","1,663","1,278","2,048","1,278 to 2,048",18.5,14.2,22.8,14.2 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,950 ","$41,478 ","$48,422 ","$41,478 to $48,422"
2010,39,39005,Ashland County (OH),"50,898","7,943","6,675","9,211","6,675 to 9,211",15.6,13.1,18.1,13.1 to 18.1,"12,351","2,830","2,317","3,343","2,317 to 3,343",22.9,18.7,27.1,18.7 to 27.1,"9,092","1,786","1,428","2,144","1,428 to 2,144",19.6,15.7,23.5,15.7 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,734 ","$38,504 ","$44,964 ","$38,504 to $44,964"
2009,39,39005,Ashland County (OH),"52,448","8,781","7,577","9,984","7,577 to 9,984",16.7,14.4,19,14.4 to 19.0,"12,919","3,380","2,931","3,829","2,931 to 3,829",26.2,22.7,29.6,22.7 to 29.6,"9,484","2,168","1,854","2,482","1,854 to 2,482",22.9,19.5,26.2,19.5 to 26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,794 ","$41,475 ","$46,113 ","$41,475 to $46,113"
2008,39,39005,Ashland County (OH),"52,516","6,302","5,188","7,415","5,188 to 7,415",12,9.9,14.1,9.9 to 14.1,"12,551","2,117","1,673","2,561","1,673 to 2,561",16.9,13.3,20.4,13.3 to 20.4,"9,165","1,312","1,014","1,610","1,014 to 1,610",14.3,11.1,17.6,11.1 to 17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,151 ","$40,707 ","$45,594 ","$40,707 to $45,594"
2007,39,39005,Ashland County (OH),"52,253","5,216","4,185","6,246","4,185 to 6,246",10,8,12,8.0 to 12.0,"12,505","1,808","1,383","2,233","1,383 to 2,233",14.5,11.1,17.9,11.1 to 17.9,"9,186","1,145",862,"1,428","862 to 1,428",12.5,9.4,15.5,9.4 to 15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,805 ","$43,388 ","$50,222 ","$43,388 to $50,222"
2006,39,39005,Ashland County (OH),"52,002","6,019","4,772","7,267","4,772 to 7,267",11.6,9.2,14,9.2 to 14.0,"12,485","2,013","1,600","2,426","1,600 to 2,426",16.1,12.8,19.4,12.8 to 19.4,"9,089","1,310","1,017","1,603","1,017 to 1,603",14.4,11.2,17.6,11.2 to 17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,527 ","$42,701 ","$48,353 ","$42,701 to $48,353"
2005,39,39005,Ashland County (OH),"51,303","6,515","5,402","7,628","5,402 to 7,628",12.7,10.5,14.9,10.5 to 14.9,"12,299","2,142","1,706","2,578","1,706 to 2,578",17.4,13.9,21,13.9 to 21.0,"9,104","1,296","1,006","1,586","1,006 to 1,586",14.2,11.1,17.4,11.1 to 17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,460 ","$38,026 ","$44,894 ","$38,026 to $44,894"
2004,39,39005,Ashland County (OH),"51,890","5,053","3,869","6,237","3,869 to 6,237",9.7,7.5,12,7.5 to 12.0,"12,493","1,694","1,240","2,149","1,240 to 2,149",13.6,9.9,17.2,9.9 to 17.2,"9,163","1,106",764,"1,448","764 to 1,448",12.1,8.3,15.8,8.3 to 15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,074 ","$38,584 ","$43,725 ","$38,584 to $43,725"
2003,39,39005,Ashland County (OH),"51,752","4,638","3,569","5,707","3,569 to 5,707",9,6.9,11,6.9 to 11.0,"12,738","1,558","1,151","1,964","1,151 to 1,964",12.2,9,15.4,9.0 to 15.4,"9,250",988,696,"1,280","696 to 1,280",10.7,7.5,13.8,7.5 to 13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,953 ","$37,532 ","$42,529 ","$37,532 to $42,529"
2002,39,39005,Ashland County (OH),"51,720","4,460","3,439","5,481","3,439 to 5,481",8.6,6.6,10.6,6.6 to 10.6,"12,932","1,332",984,"1,680","984 to 1,680",10.3,7.6,13,7.6 to 13.0,"9,390",897,627,"1,167","627 to 1,167",9.6,6.7,12.4,6.7 to 12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,306 ","$36,704 ","$42,093 ","$36,704 to $42,093"
2019,39,39007,Ashtabula County (OH),"93,530","17,508","15,094","19,922","15,094 to 19,922",18.7,16.1,21.3,16.1 to 21.3,"20,807","5,521","4,356","6,686","4,356 to 6,686",26.5,20.9,32.1,20.9 to 32.1,"15,317","3,552","2,682","4,422","2,682 to 4,422",23.2,17.5,28.9,17.5 to 28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,388 ","$42,951 ","$51,825 ","$42,951 to $51,825"
2018,39,39007,Ashtabula County (OH),"93,773","16,353","14,114","18,592","14,114 to 18,592",17.4,15,19.8,15.0 to 19.8,"20,969","5,031","3,958","6,104","3,958 to 6,104",24,18.9,29.1,18.9 to 29.1,"15,496","3,500","2,626","4,374","2,626 to 4,374",22.6,17,28.2,17.0 to 28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,950 ","$43,263 ","$50,637 ","$43,263 to $50,637"
2017,39,39007,Ashtabula County (OH),"94,064","18,127","15,860","20,394","15,860 to 20,394",19.3,16.9,21.7,16.9 to 21.7,"21,169","6,011","4,984","7,038","4,984 to 7,038",28.4,23.5,33.3,23.5 to 33.3,"15,737","4,090","3,337","4,843","3,337 to 4,843",26,21.2,30.8,21.2 to 30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,157 ","$41,553 ","$48,761 ","$41,553 to $48,761"
2016,39,39007,Ashtabula County (OH),"94,473","17,202","14,907","19,497","14,907 to 19,497",18.2,15.8,20.6,15.8 to 20.6,"21,293","5,652","4,608","6,696","4,608 to 6,696",26.5,21.6,31.4,21.6 to 31.4,"15,921","3,903","3,132","4,674","3,132 to 4,674",24.5,19.7,29.3,19.7 to 29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,668 ","$40,842 ","$46,494 ","$40,842 to $46,494"
2015,39,39007,Ashtabula County (OH),"94,961","17,636","14,794","20,478","14,794 to 20,478",18.6,15.6,21.6,15.6 to 21.6,"21,614","6,177","5,023","7,331","5,023 to 7,331",28.6,23.3,33.9,23.3 to 33.9,"16,174","4,249","3,364","5,134","3,364 to 5,134",26.3,20.8,31.8,20.8 to 31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,258 ","$42,113 ","$46,403 ","$42,113 to $46,403"
2014,39,39007,Ashtabula County (OH),"95,459","20,547","18,163","22,931","18,163 to 22,931",21.5,19,24,19.0 to 24.0,"21,860","7,008","5,907","8,109","5,907 to 8,109",32.1,27.1,37.1,27.1 to 37.1,"16,294","4,586","3,736","5,436","3,736 to 5,436",28.1,22.9,33.3,22.9 to 33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,757 ","$37,438 ","$42,076 ","$37,438 to $42,076"
2013,39,39007,Ashtabula County (OH),"96,094","18,129","15,742","20,516","15,742 to 20,516",18.9,16.4,21.4,16.4 to 21.4,"22,147","6,477","5,406","7,548","5,406 to 7,548",29.2,24.4,34,24.4 to 34.0,"16,439","4,272","3,419","5,125","3,419 to 5,125",26,20.8,31.2,20.8 to 31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,899 ","$39,049 ","$42,749 ","$39,049 to $42,749"
2012,39,39007,Ashtabula County (OH),"96,728","19,670","17,614","21,726","17,614 to 21,726",20.3,18.2,22.4,18.2 to 22.4,"22,439","6,780","5,748","7,812","5,748 to 7,812",30.2,25.6,34.8,25.6 to 34.8,"16,613","4,384","3,604","5,164","3,604 to 5,164",26.4,21.7,31.1,21.7 to 31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,811 ","$35,281 ","$40,341 ","$35,281 to $40,341"
2011,39,39007,Ashtabula County (OH),"97,897","19,891","17,154","22,628","17,154 to 22,628",20.3,17.5,23.1,17.5 to 23.1,"23,014","6,706","5,459","7,953","5,459 to 7,953",29.1,23.7,34.5,23.7 to 34.5,"16,865","4,535","3,589","5,481","3,589 to 5,481",26.9,21.3,32.5,21.3 to 32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,683 ","$36,161 ","$41,205 ","$36,161 to $41,205"
2010,39,39007,Ashtabula County (OH),"97,972","15,771","13,474","18,068","13,474 to 18,068",16.1,13.8,18.4,13.8 to 18.4,"23,394","5,794","4,619","6,969","4,619 to 6,969",24.8,19.8,29.8,19.8 to 29.8,"17,126","4,138","3,290","4,986","3,290 to 4,986",24.2,19.2,29.2,19.2 to 29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,762 ","$36,179 ","$41,345 ","$36,179 to $41,345"
2009,39,39007,Ashtabula County (OH),"98,464","17,245","14,441","20,050","14,441 to 20,050",17.5,14.7,20.4,14.7 to 20.4,"23,332","6,127","4,963","7,292","4,963 to 7,292",26.3,21.3,31.3,21.3 to 31.3,"17,041","3,874","3,037","4,711","3,037 to 4,711",22.7,17.8,27.6,17.8 to 27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,501 ","$36,680 ","$42,322 ","$36,680 to $42,322"
2008,39,39007,Ashtabula County (OH),"98,396","15,304","13,099","17,508","13,099 to 17,508",15.6,13.3,17.8,13.3 to 17.8,"23,172","5,505","4,517","6,494","4,517 to 6,494",23.8,19.5,28,19.5 to 28.0,"16,945","3,570","2,850","4,290","2,850 to 4,290",21.1,16.8,25.3,16.8 to 25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,899 ","$38,794 ","$45,004 ","$38,794 to $45,004"
2007,39,39007,Ashtabula County (OH),"98,863","15,322","12,950","17,694","12,950 to 17,694",15.5,13.1,17.9,13.1 to 17.9,"23,517","5,305","4,216","6,393","4,216 to 6,393",22.6,17.9,27.2,17.9 to 27.2,"17,448","3,539","2,750","4,328","2,750 to 4,328",20.3,15.8,24.8,15.8 to 24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,107 ","$37,716 ","$42,497 ","$37,716 to $42,497"
2006,39,39007,Ashtabula County (OH),"100,391","15,977","13,494","18,460","13,494 to 18,460",15.9,13.4,18.4,13.4 to 18.4,"24,000","5,414","4,381","6,448","4,381 to 6,448",22.6,18.3,26.9,18.3 to 26.9,"17,912","3,581","2,837","4,325","2,837 to 4,325",20,15.8,24.1,15.8 to 24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,834 ","$35,970 ","$41,698 ","$35,970 to $41,698"
2005,39,39007,Ashtabula County (OH),"100,564","15,370","12,969","17,771","12,969 to 17,771",15.3,12.9,17.7,12.9 to 17.7,"24,128","5,595","4,578","6,612","4,578 to 6,612",23.2,19,27.4,19.0 to 27.4,"18,080","3,776","3,044","4,508","3,044 to 4,508",20.9,16.8,24.9,16.8 to 24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,515 ","$35,143 ","$39,887 ","$35,143 to $39,887"
2004,39,39007,Ashtabula County (OH),"101,856","12,943","9,974","15,912","9,974 to 15,912",12.7,9.8,15.6,9.8 to 15.6,"24,514","4,815","3,567","6,064","3,567 to 6,064",19.6,14.6,24.7,14.6 to 24.7,"18,201","3,032","2,123","3,941","2,123 to 3,941",16.7,11.7,21.6,11.7 to 21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,729 ","$35,421 ","$40,186 ","$35,421 to $40,186"
2003,39,39007,Ashtabula County (OH),"101,625","12,188","9,452","14,925","9,452 to 14,925",12,9.3,14.7,9.3 to 14.7,"24,996","4,669","3,500","5,838","3,500 to 5,838",18.7,14,23.4,14.0 to 23.4,"18,611","2,906","2,080","3,732","2,080 to 3,732",15.6,11.2,20.1,11.2 to 20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,034 ","$33,835 ","$38,377 ","$33,835 to $38,377"
2002,39,39007,Ashtabula County (OH),"101,674","12,326","9,593","15,058","9,593 to 15,058",12.1,9.4,14.8,9.4 to 14.8,"25,465","4,319","3,247","5,390","3,247 to 5,390",17,12.8,21.2,12.8 to 21.2,"18,960","2,874","2,046","3,702","2,046 to 3,702",15.2,10.8,19.5,10.8 to 19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$35,054 ","$32,736 ","$37,536 ","$32,736 to $37,536"
2019,39,39009,Athens County (OH),"55,718","14,839","12,896","16,782","12,896 to 16,782",26.6,23.1,30.1,23.1 to 30.1,"9,161","2,321","1,766","2,876","1,766 to 2,876",25.3,19.2,31.4,19.2 to 31.4,"6,748","1,530","1,127","1,933","1,127 to 1,933",22.7,16.7,28.7,16.7 to 28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,621 ","$39,425 ","$47,817 ","$39,425 to $47,817"
